condition,noise_type,severity,status,mAP@0.5
clean_s0,clean,0,done,0.001308
snow_s1,snow,1,done,0.000654
snow_s2,snow,2,done,0.000725
snow_s3,snow,3,done,0.000224
snow_s4,snow,4,done,0.000599
snow_s5,snow,5,done,0.000172
shot_noise_s1,shot_noise,1,done,0.001873
shot_noise_s2,shot_noise,2,done,0.001185
shot_noise_s3,shot_noise,3,done,0.000457
shot_noise_s4,shot_noise,4,done,0.000427
shot_noise_s5,shot_noise,5,done,0.000231
gaussian_noise_s1,gaussian_noise,1,done,0.001890
gaussian_noise_s2,gaussian_noise,2,done,0.000451
gaussian_noise_s3,gaussian_noise,3,done,0.000846
gaussian_noise_s4,gaussian_noise,4,done,0.000400
gaussian_noise_s5,gaussian_noise,5,done,0.010174
impulse_noise_s1,impulse_noise,1,done,0.001098
impulse_noise_s2,impulse_noise,2,pending,
impulse_noise_s3,impulse_noise,3,done,0.000808
impulse_noise_s4,impulse_noise,4,pending,
impulse_noise_s5,impulse_noise,5,done,0.010090
glass_blur_s1,glass_blur,1,done,0.000364
glass_blur_s2,glass_blur,2,done,0.000606
glass_blur_s3,glass_blur,3,done,0.000358
glass_blur_s4,glass_blur,4,done,0.000381
glass_blur_s5,glass_blur,5,done,0.000220
motion_blur_s1,motion_blur,1,done,0.000509
motion_blur_s2,motion_blur,2,done,0.000292
motion_blur_s3,motion_blur,3,done,0.000194
motion_blur_s4,motion_blur,4,pending,
motion_blur_s5,motion_blur,5,done,0.000212
fog_s1,fog,1,pending,
fog_s2,fog,2,pending,
fog_s3,fog,3,pending,
fog_s4,fog,4,pending,
fog_s5,fog,5,pending,
frost_s1,frost,1,pending,
frost_s2,frost,2,pending,
frost_s3,frost,3,pending,
frost_s4,frost,4,pending,
frost_s5,frost,5,pending,
